"Барча солиқ турлари бўйича бўйича    ""CAPITAL LOGISTICS 2020"" MAS'ULIYATI CHEKLANGAN JAMIYAT нинг (СТИР: 308020562)    2025 йил учун     Тошкент шаҳар, Янгиҳаёт тумани даги    ШАХСИЙ ҲИСОБВАРАҒИ";;;;;;;;;;;;;;;;;
Шакллантирилган сана ва вақти: 06.02.2026 16:03:54    Манба:  Электрон солиқ хизматлари портали (https://my3.soliq.uz);;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;сўм
Ҳудуд;Солиқ коди;Солиқ номи;Операция санаси;Операция мазмуни;Тўлов муддати;Тўлаш учун ҳисобланган;Камайтирилган;Тўланган;Қайтарилган;Қарздорлик;Ортиқча тўлов;Салбий фарқ;Пеня;Пеня муддати;Туланган пеня;Қолдиқ пеня;Ортиқча тўланган сумма
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;;Сальдо на;01.01.2025;0;0;0;0;172 839 189,95;0;0;0;;0;701 920,19;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;03.01.2025;Пост.сог.Мемор №136 Прочие ;03.01.2025;0;0;1 672 081,75;0;171 167 108,20;0;0;0;;0;701 920,19;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;03.01.2025;Нач.часть пени 80%;03.01.2025;0;0;0;0;171 167 108,20;0;0;124 444,22;02.01.2025 - 03.01.2025;0;826 364,41;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;13.01.2025;Пост.сог.Мемор №686002712 Прочие ;13.01.2025;0;0;369 720,95;0;170 797 387,25;0;0;0;;0;826 364,41;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;13.01.2025;Пост.сог.Мемор №140 Прочие ;13.01.2025;0;0;172 055 092,77;0;0;1 257 705,52;0;0;;0;826 364,41;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;13.01.2025;Нач.часть пени 80%;13.01.2025;0;0;0;0;0;0;0;616 201,59;04.01.2025 - 13.01.2025;1 257 705,52;184 860,48;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;20.01.2025;С расчета за 12 м.;20.01.2025;59 428 339,98;0;0;0;59 428 339,98;0;0;0;;0;184 860,48;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;20.01.2025;Пост.сог.Мемор №13 Прочие ;20.01.2025;0;0;540 811,98;0;58 887 528,00;0;0;0;;0;184 860,48;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;22.01.2025;Пост.сог.Мемор №13 Прочие ;22.01.2025;0;0;58 959 188,02;0;0;71 660,02;0;0;;0;184 860,48;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;22.01.2025;Нач.часть пени 80%;22.01.2025;0;0;0;0;0;0;0;42 399,02;21.01.2025 - 22.01.2025;71 660,02;155 599,48;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;05.02.2025;Пост.сог.Мемор №712150883 Прочие ;05.02.2025;0;0;155 599,48;0;0;0;0;0;;155 599,48;0;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;20.02.2025;С расчета за 1 м.;20.02.2025;71 665 447,15;0;0;0;71 665 447,15;0;0;0;;0;0;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;26.02.2025;С перерасчета за 6 м. 2023 г.;26.02.2025;0;0;0;0;71 665 447,15;0;0;0;;0;0;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;26.02.2025;С перерасчета за 7 м. 2023 г.;26.02.2025;0;0;0;0;71 665 447,15;0;0;0;;0;0;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;26.02.2025;Нач.часть пени 80%;26.02.2025;0;0;0;0;71 665 447,15;0;0;154 797,37;21.02.2025 - 26.02.2025;0;154 797,37;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;28.02.2025;Пост.сог.Мемор №38 Прочие ;28.02.2025;0;0;266 855,88;0;71 398 591,27;0;0;0;;0;154 797,37;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;28.02.2025;Нач.часть пени 80%;28.02.2025;0;0;0;0;71 398 591,27;0;0;51 599,12;27.02.2025 - 28.02.2025;0;206 396,49;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;03.03.2025;С перерасчета за 11 м. 2023 г.;03.03.2025;0;0;0;0;71 398 591,27;0;0;0;;0;206 396,49;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;03.03.2025;Нач.часть пени 80%;03.03.2025;0;0;0;0;71 398 591,27;0;0;77 110,48;01.03.2025 - 03.03.2025;0;283 506,97;0
